,id,age,region,author,title
0,0,A. The Theocratic Age,The Ancient Near East,,Gilgamesh
1,1,A. The Theocratic Age,The Ancient Near East,,Egyptian Book of the Dead
2,2,A. The Theocratic Age,The Ancient Near East,,Holy Bible (King James Version)
3,3,A. The Theocratic Age,The Ancient Near East,,The Apocrypha
4,4,A. The Theocratic Age,The Ancient Near East,,Sayings of the Fathers (Pirke Aboth)
5,5,A. The Theocratic Age,Ancient India (Sanskrit),,Mahabharata
6,6,A. The Theocratic Age,Ancient India (Sanskrit),,Bhagavad-Gita
7,7,A. The Theocratic Age,Ancient India (Sanskrit),,Ramayana
8,8,A. The Theocratic Age,The Ancient Greeks,Homer,Iliad
9,9,A. The Theocratic Age,The Ancient Greeks,Homer,Odyssey
10,10,A. The Theocratic Age,The Ancient Greeks,Hesiod,Works and Days
11,11,A. The Theocratic Age,The Ancient Greeks,Hesiod,Theogony
12,12,A. The Theocratic Age,The Ancient Greeks,,"Archilochos, Sappho, Alkman"
13,13,A. The Theocratic Age,The Ancient Greeks,Pindar,Odes
14,14,A. The Theocratic Age,The Ancient Greeks,Aeschylus,Oresteia
15,15,A. The Theocratic Age,The Ancient Greeks,Aeschylus,Seven Against Thebes
16,16,A. The Theocratic Age,The Ancient Greeks,Aeschylus,Prometheus Bound
17,17,A. The Theocratic Age,The Ancient Greeks,Aeschylus,Persians
18,18,A. The Theocratic Age,The Ancient Greeks,Aeschylus,Suppliant Women
19,19,A. The Theocratic Age,The Ancient Greeks,Sophocles,Oedipus the King
20,20,A. The Theocratic Age,The Ancient Greeks,Sophocles,Oedipus at Colonus
21,21,A. The Theocratic Age,The Ancient Greeks,Sophocles,Antigone
22,22,A. The Theocratic Age,The Ancient Greeks,Sophocles,Electra
23,23,A. The Theocratic Age,The Ancient Greeks,Sophocles,Ajax
24,24,A. The Theocratic Age,The Ancient Greeks,Sophocles,Women of Trachis
25,25,A. The Theocratic Age,The Ancient Greeks,Sophocles,Philoctetes
26,26,A. The Theocratic Age,The Ancient Greeks,Euripides,Cyclops
27,27,A. The Theocratic Age,The Ancient Greeks,Euripides,Heracles
28,28,A. The Theocratic Age,The Ancient Greeks,Euripides,Alcestis
29,29,A. The Theocratic Age,The Ancient Greeks,Euripides,Hecuba
30,30,A. The Theocratic Age,The Ancient Greeks,Euripides,Bacchae
31,31,A. The Theocratic Age,The Ancient Greeks,Euripides,Orestes
32,32,A. The Theocratic Age,The Ancient Greeks,Euripides,Andromache
33,33,A. The Theocratic Age,The Ancient Greeks,Euripides,Medea
34,34,A. The Theocratic Age,The Ancient Greeks,Euripides,Ion
35,35,A. The Theocratic Age,The Ancient Greeks,Euripides,Hippolytus
36,36,A. The Theocratic Age,The Ancient Greeks,Euripides,Helen
37,37,A. The Theocratic Age,The Ancient Greeks,Euripides,Iphigenia at Aulis
38,38,A. The Theocratic Age,The Ancient Greeks,Aristophanes,The Birds
39,39,A. The Theocratic Age,The Ancient Greeks,Aristophanes,The Clouds
40,40,A. The Theocratic Age,The Ancient Greeks,Aristophanes,The Frogs
41,41,A. The Theocratic Age,The Ancient Greeks,Aristophanes,Lysistrata
42,42,A. The Theocratic Age,The Ancient Greeks,Aristophanes,The Knights
43,43,A. The Theocratic Age,The Ancient Greeks,Aristophanes,The Wasps
44,44,A. The Theocratic Age,The Ancient Greeks,Aristophanes,The Assemblywomen
45,45,A. The Theocratic Age,The Ancient Greeks,Herodotus,The Histories
46,46,A. The Theocratic Age,The Ancient Greeks,Thucydides,The Peloponnesian Wars
47,47,A. The Theocratic Age,The Ancient Greeks,,"The Pre-Socratics (Heraclitus, Empedocles)"
48,48,A. The Theocratic Age,The Ancient Greeks,Plato,Dialogues
49,49,A. The Theocratic Age,The Ancient Greeks,Aristotle,Poetics
50,50,A. The Theocratic Age,The Ancient Greeks,Aristotle,Ethics
51,51,A. The Theocratic Age,Hellenistic Greeks,Menander,The Girl from Samos
52,52,A. The Theocratic Age,Hellenistic Greeks,"""Longinus""",On the Sublime
53,53,A. The Theocratic Age,Hellenistic Greeks,Callimachus,Hymns and Epigrams
54,54,A. The Theocratic Age,Hellenistic Greeks,Theocritus,Idylls
55,55,A. The Theocratic Age,Hellenistic Greeks,Plutarch,Lives
56,56,A. The Theocratic Age,Hellenistic Greeks,Plutarch,Moralia
57,57,A. The Theocratic Age,Hellenistic Greeks,"""Aesop""",Fables
58,58,A. The Theocratic Age,Hellenistic Greeks,Lucian,Satires
59,59,A. The Theocratic Age,The Romans,Plautus,Pseudolus
60,60,A. The Theocratic Age,The Romans,Plautus,The Braggart Soldier
61,61,A. The Theocratic Age,The Romans,Plautus,The Rope
62,62,A. The Theocratic Age,The Romans,Plautus,Amphitryon
63,63,A. The Theocratic Age,The Romans,Terence,The Girl from Andros
64,64,A. The Theocratic Age,The Romans,Terence,The Eunuch
65,65,A. The Theocratic Age,The Romans,Terence,The Mother-in-Law
66,66,A. The Theocratic Age,The Romans,Lucretius,The Way Things Are
67,67,A. The Theocratic Age,The Romans,Cicero,On the Gods
68,68,A. The Theocratic Age,The Romans,Horace,Odes
69,69,A. The Theocratic Age,The Romans,Horace,Epistles
70,70,A. The Theocratic Age,The Romans,Horace,Satires
71,71,A. The Theocratic Age,The Romans,Persius,Satires
72,72,A. The Theocratic Age,The Romans,Catullus,Attis and Other Poems
73,73,A. The Theocratic Age,The Romans,Virgil,Aeneid
74,74,A. The Theocratic Age,The Romans,Virgil,Eclogues
75,75,A. The Theocratic Age,The Romans,Virgil,Georgics
76,76,A. The Theocratic Age,The Romans,Lucan,Pharsalia
77,77,A. The Theocratic Age,The Romans,Ovid,Metamorphoses
78,78,A. The Theocratic Age,The Romans,Ovid,The Art of Love
79,79,A. The Theocratic Age,The Romans,Ovid,Heroides
80,80,A. The Theocratic Age,The Romans,Juvenal,Satires
81,81,A. The Theocratic Age,The Romans,Martial,Epigrams
82,82,A. The Theocratic Age,The Romans,Seneca,"Tragedies, particularly Medea and Hercules Furens"
83,83,A. The Theocratic Age,The Romans,Petronius,Satyricon
84,84,A. The Theocratic Age,The Romans,Apuleius,The Golden Ass
85,85,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",Saint Augustine,City of God
86,86,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",Saint Augustine,Confessions
87,87,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",,The Koran (Al-Qur'an)
88,88,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",,The Book of the Thousand Nights and One Night
89,89,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",,The Poetic Edda
90,90,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",Snorri Sturluson,The Prose Edda
91,91,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",,The Nibelungen Lied
92,92,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",Wolfram von Eschenbach,Parzival
93,93,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",Chrétien de Troyes,Yvain: The Knight of the Lion
94,94,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",,Beowulf
95,95,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",,The Poem of the Cid
96,96,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",Christine de Pisan,The Book of the City of Ladies
97,97,A. The Theocratic Age,"The Middle Ages: Latin, Arabic, and the Vernacular Before Dante",Diego de San Pedro,Prison of Love
98,98,B. The Aristocratic Age,Italy,Dante,The Divine Comedy
99,99,B. The Aristocratic Age,Italy,Dante,The New Life
100,100,B. The Aristocratic Age,Italy,Petrarch,Lyric Poems
101,101,B. The Aristocratic Age,Italy,Petrarch,Selections
102,102,B. The Aristocratic Age,Italy,Giovanni Boccaccio,The Decameron
103,103,B. The Aristocratic Age,Italy,Matteo Maria Boiardo,Orlando Innamorato
104,104,B. The Aristocratic Age,Italy,Ludovico Ariosto,Orlando Furioso
105,105,B. The Aristocratic Age,Italy,Michelangelo Buonarroti,Sonnets and Madrigals
106,106,B. The Aristocratic Age,Italy,Niccolò Machiavelli,The Prince
107,107,B. The Aristocratic Age,Italy,Niccolò Machiavelli,"The Mandrake, a Comedy"
108,108,B. The Aristocratic Age,Italy,Leonardo da Vinci,Notebooks
109,109,B. The Aristocratic Age,Italy,Baldassare Castiglione,The Book of the Courtier
110,110,B. The Aristocratic Age,Italy,Gaspara Stampa,Sonnets and Madrigals
111,111,B. The Aristocratic Age,Italy,Giorgio Vasari,Lives of the Painters
112,112,B. The Aristocratic Age,Italy,Benvenuto Cellini,Autobiography
113,113,B. The Aristocratic Age,Italy,Torquato Tasso,Jerusalem Delivered
114,114,B. The Aristocratic Age,Italy,Giordano Bruno,The Expulsion of the Triumphant Beast
115,115,B. The Aristocratic Age,Italy,Tommaso Campanella,Poems
116,116,B. The Aristocratic Age,Italy,Tommaso Campanella,The City of the Sun
117,117,B. The Aristocratic Age,Italy,Giambattista Vico,Principles of a New Science
118,118,B. The Aristocratic Age,Italy,Carlo Goldoni,The Servant of Two Masters
119,119,B. The Aristocratic Age,Italy,Vittorio Alfieri,Saul
120,120,B. The Aristocratic Age,Portugal,Luis de Camoëns,The Lusiads
121,121,B. The Aristocratic Age,Portugal,Antònio Ferreira,Poetry
122,122,B. The Aristocratic Age,Spain,Jorge Manrique,Coplas
